@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcAddr,srcPort,dstAddr,dstPort
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173224,2022-03-01 22:20:24.000,13,10.0.1.104,39976,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173225,2022-03-01 22:20:25.000,12,10.0.1.104,39977,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173226,2022-03-01 22:20:26.000,-49,10.0.1.104,39978,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173227,2022-03-01 22:20:27.000,10,10.0.1.104,39979,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173228,2022-03-01 22:20:28.000,9,10.0.1.104,39980,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173229,2022-03-01 22:20:29.000,8,10.0.1.104,39981,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173230,2022-03-01 22:20:30.000,7,10.0.1.104,39982,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173231,2022-03-01 22:20:31.000,-54,10.0.1.104,39983,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173232,2022-03-01 22:20:32.000,5,10.0.1.104,39984,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173233,2022-03-01 22:20:33.000,4,10.0.1.104,39985,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173234,2022-03-01 22:20:34.000,3,10.0.1.104,39986,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173235,2022-03-01 22:20:35.000,2,10.0.1.104,39987,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173236,2022-03-01 22:20:36.000,1,10.0.1.104,39988,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173237,2022-03-01 22:20:37.000,0,10.0.1.104,39989,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173238,2022-03-01 22:20:38.000,-1,10.0.1.104,39990,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173239,2022-03-01 22:20:39.000,-2,10.0.1.104,39991,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173240,2022-03-01 22:20:40.000,-3,10.0.1.104,39992,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:20:37.000,415.582,6.9264,1646173237,1646173241,2022-03-01 22:20:41.000,-4,10.0.1.104,39993,18.209.225.131,7777
